iter	Passed	Remaining
531	54494	47938
532	54586	47827
533	54680	47717
534	54771	47605
535	54879	47507
536	54983	47406
537	55071	47291
538	55171	47187
539	55280	47091
540	55388	46993
541	55491	46891
542	55589	46785
543	55706	46695
544	55806	46590
545	55901	46482
546	56023	46396
547	56122	46290
548	56215	46180
549	56305	46067
550	56409	45966
551	56522	45873
552	56619	45766
553	56720	45662
554	56813	45552
555	56926	45459
556	57023	45352
557	57119	45245
558	57219	45140
559	57273	45000
560	57485	44984
561	57601	44892
562	57705	44791
563	57840	44713
564	57993	44649
565	58101	44551
566	58206	44450
567	58287	44331
568	58384	44224
569	58485	44120
570	58584	44015
571	58684	43910
572	58769	43794
573	58872	43692
574	58964	43582
575	59061	43475
576	59112	43335
577	59209	43228
578	59316	43130
579	59409	43020
580	59505	42913
581	59608	42811
582	59716	42713
583	59839	42625
584	59944	42524
585	60036	42415
586	60184	42344
587	60273	42232
588	60374	42128
589	60470	42021
590	60562	41911
591	60663	41808
592	60770	41709
593	60879	41611
594	60986	41511
595	61097	41415
596	61199	41312
597	61313	41217
598	61442	41132
599	61579	41052
600	61709	40968
601	61865	40901
602	62045	40849
603	62174	40763
604	62313	40683
605	62455	40606
606	62586	40521
607	62735	40448
608	62848	40350
609	62952	40248
610	63049	40141
611	63145	40033
612	63247	39929
613	63356	39830
614	63475	39736
615	63585	39637
616	63687	39533
617	63796	39433
618	63931	39350
619	64051	39257
620	64155	39154
621	64282	39065
622	64387	38963
623	64488	38858
624	64617	38770
625	64733	38674
626	64834	38569
627	64934	38464
628	65054	38370
629	65163	38270
630	65269	38168
631	65371	38064
632	65502	37977
633	65605	37873
634	65718	37775
635	65841	37682
636	65937	37574
637	66034	37467
638	66141	37366
639	66270	37276
640	66377	37175
641	66499	37082
642	66591	36972
643	66683	36862
644	66821	36777
645	66921	36672
646	67018	36564
647	67111	36455
648	67203	36345
649	67305	36241
650	67372	36118
651	67468	36010
652	67556	35899
653	67651	35791
654	67744	35682
655	67845	35577
656	67940	35469
657	68037	35362
658	68141	35259
659	68243	35155
660	68342	35049
661	68446	34947
662	68526	34831
663	68641	34734
664	68761	34639
665	68863	34535
666	68968	34432
